text,label
"Profil:  | Planerat:  | Status: Marcus vaknar och känner sig i sitt livs form, full av energi (RPE 2/10 på trötthet). Men hans klocka visar ""Training Readiness: LOW"", HRV är i botten och klockan rekommenderar 48 timmars vila.
Dagens pass: Intervaller 5x1000m.
Vad rekommenderar du?",E
"Profil: 22 år, tränar för att förbättra miltid, veckovolym 40 km. | Planerat: Intervaller – 5×1000 m (10 km-fart). | Status: Låg vätskenivå efter en varm dag igår, mörk urin på morgonen och lätt huvudvärk. Pulsen normal, men känner sig seg. Vad rekommenderar du?",E
"Profil: 29 år, tränar för milen sub40, 55 km/vecka. | Planerat: 5×2 km tröskel. | Status: Haft en vecka med 3 mycket tuffa pass, benen känns “stumma”, men ingen smärta.
Vad rekommenderar du?",E
"Profil: 27 år, tränar för 10 km, 55 km/vecka. | Planerat: 12 km distans. | Status: Sovit 5–6 timmar tre nätter i rad. Morgonpulsen 10 bpm över normalt. Känner sig stressad av arbete men ingen smärta från föregående pass.
Vad rekommenderar du?",E
"Profil: 42 år, motionär, tränar 3 ggr/vecka. | Planerat: Långpass 16 km. | Status: Väldigt varmt ute (29°C), känner sig tung och trött. 
Vad rekommenderar du?",E
"Profil:  | Planerat: Intervaller – 5×1200 m. | Status: Stressad, har ätit dåligt under dagen och känner låg energi. 
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Det är 5 dagar kvar till säsongens viktigaste 5000m-lopp. Alex känner sig ""för pigg"", HRV ligger på 130 (högre än normalt) och RHR på 38. Han är nojig över att tappa formen och vill trycka på för att ""känna att farten finns där"".
Baslinje: Genomsnittligt HRV: 120. VO2 max: 65. Vilopuls (RHR): 40. Veckovolym: 70 km.
Dagens pass: Lätt aktivering planerad (30 min jogg + 4x15 sekunder snabba stegringar).",A
"Profil: 35 år, nybörjare | Planerat: Lugn distans 40 min | Status: Ont i halsen och lätt feber.",E
"Profil: 20 år, tävlar 1500 m. | Planerat: Tröskel 3×8 min. | Status: Peakform, RPE lågt, god återhämtning, en vecka innan tävling. 
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Två dagar efter 5000m-loppet (där han persade!). Motivationen är på topp och Alex känner sig mentalt oslagbar. Sömnen och HRV har återgått till det normala, men vaderna är fortfarande spända (DOMS 4/10).
Dagens pass: 60 min lugn återhämtningsdistans (Zon 2).
Baslinje: Genomsnittligt HRV: 120. VO2 max: 65. Vilopuls (RHR): 40. Veckovolym: 70 km.",A
"Profil:  | Planerat:  | Status: Barnet somnade precis. Sara har exakt 25 minuter på sig innan partnern måste åka iväg. Hennes schema säger 45 minuter lugn jogg.
Dagens pass: 45 min distans.
Vad rekommenderar du?",E
"Profil: 40 år, tränar inför halvmaraton, veckovolym 50 km. | Planerat: Tröskel – 5×6 min. | Status: Har redan genomfört 4 hårda pass de senaste 6 dagarna, känner sig trött men ”vill inte missa passet”.
Vad rekommenderar du?a",E
"Profil: 42 år, motionär, tränar 3 ggr/vecka. | Planerat: Långpass 16 km. | Status: Väldigt varmt ute (29°C), känner sig tung och trött. 
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Emma blir kvar på jobbet pga en kris. Istället för de planerade 60 minuterna har hon nu bara 30 minuter till godo innan hon måste hämta barn. Känner sig stressad.
Dagens pass: Lugn distans 8 km (ca 60 min).
Baslinje: Tränar 3 pass i veckan (tis, tors, sön). Veckovolym: ca 20 km.",A
"Profil:  | Planerat: Intervaller – 5×1200 m. | Status: Stressad, har ätit dåligt under dagen och känner låg energi. 
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Kom hem från en jobbresa i USA igår kväll. Har sovit oroligt, kroppen är inställd på fel tidszon och han är lite mosig i huvudet, men benen är utvilade.
Dagens pass: 10x400m tuffa intervaller.
Vad rekommenderar du?",E
"Profil: 24 år, tävlingsinriktad, tränar 7 pass/vecka. | Planerat: 14 km distans. | Status: Känt sig konstant trött i 2–3 veckor, sänkt fart på distanspassen trots samma ansträngning, sömn ok men låg motivation. HRV lägre än normalt flera dagar i rad.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Bytte från klassiska ""stabila"" skor med mycket drop, till platta minimalistiska skor för att ""bli starkare"". Sprang 10 km igår. Vaknar idag och kan knappt stödja på hälen (våldsam hälseneinflammation).
Dagens pass (Imorgon): 5 km distans.
Vad rekommenderar du?",E
"Profil: 45 år, tränar inför första halvmaraton, veckovolym 45 km. | Planerat: Långpass – 20 km. | Status: Garmin visar “Recovery time: 48 h” efter gårdagens hårda pass, benen känns tunga. 
Vad rekommenderar du?",E
"Profil:  | Planerat: Intervaller – 5×1200 m. | Status: Stressad, har ätit dåligt under dagen och känner låg energi. 
Vad rekommenderar du?",E
"Profil: 20 år, tävlar 1500 m. | Planerat: Tröskel 3×8 min. | Status: Peakform, RPE lågt, god återhämtning, en vecka innan tävling. 
Vad rekommenderar du?",E
"Profil:  | Planerat: 8×400 m intervaller (5 km-fart). | Status: Sovit 5 timmar, känner sig seg och tung i benen. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Två dagar efter 5000m-loppet (där han persade!). Motivationen är på topp och Alex känner sig mentalt oslagbar. Sömnen och HRV har återgått till det normala, men vaderna är fortfarande spända (DOMS 4/10).
Dagens pass: 60 min lugn återhämtningsdistans (Zon 2).
Baslinje: Genomsnittligt HRV: 120. VO2 max: 65. Vilopuls (RHR): 40. Veckovolym: 70 km.",E
"Profil:  | Planerat:  | Status: Mycket trött efter skoldagen och vill helst inte träna. 
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Mycket trött efter skoldagen och vill helst inte träna. 
Vad rekommenderar du?",E
"Profil: 33 år, tränar för sub45 på 10 km, veckovolym 35 km. | Planerat: 4×8 min tröskel. | Status: Upplevde krampkänning i baksida lår under gårdagens löppass. 
Vad rekommenderar du?",E
"Profil: 35 år, tränar för bättre allmänkondition, veckovolym 25 km. | Planerat: Lugn distans – 60 min. | Status: Höga pollenhalter idag, tung andning och rinnande ögon. Ingen feber och pulsen normal, men känner sig “tung”.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Det är två veckor kvar till maratonloppet. Johan har följt schemat och minskat volymen. Nu får han panik, tycker att han tappat all kondition och känner sig trög. Han vill ut och springa ett snabbt 15 km-pass för att ""väcka benen"". Dagens pass: 8 km mycket lugn jogg + 4 korta stegringar. Vad rekommenderar du?",E
